Attempt,Reward,Average_Reward,Epsilon
1,50.0,50.0,1.0
2,12.0,31.0,0.999
3,17.0,26.333333333333332,0.998001
4,15.0,23.5,0.997002999
5,47.0,28.2,0.996005996001
6,19.0,26.666666666666668,0.995009990004999
7,20.0,25.714285714285715,0.994014980014994
8,35.0,26.875,0.993020965034979
9,18.0,25.88888888888889,0.9920279440699441
10,14.0,24.7,0.9910359161258742
11,11.0,23.454545454545453,0.9900448802097482
12,34.0,24.333333333333332,0.9890548353295385
13,11.0,23.307692307692307,0.988065780494209
14,23.0,23.285714285714285,0.9870777147137147
15,20.0,23.066666666666666,0.986090636999001
16,11.0,22.3125,0.9851045463620021
17,18.0,22.058823529411764,0.98411944181564
18,25.0,22.22222222222222,0.9831353223738244
19,20.0,22.105263157894736,0.9821521870514506
20,28.0,22.4,0.9811700348643991
21,13.0,21.952380952380953,0.9801888648295347
22,52.0,23.318181818181817,0.9792086759647052
23,21.0,23.217391304347824,0.9782294672887405
24,56.0,24.583333333333332,0.9772512378214517
25,33.0,24.92,0.9762739865836303
26,21.0,24.76923076923077,0.9752977125970467
27,29.0,24.925925925925927,0.9743224148844496
28,9.0,24.357142857142858,0.9733480924695651
29,12.0,23.93103448275862,0.9723747443770956
30,13.0,23.566666666666666,0.9714023696327185
31,15.0,23.29032258064516,0.9704309672630859
32,19.0,23.15625,0.9694605362958227
33,16.0,22.939393939393938,0.9684910757595269
34,35.0,23.294117647058822,0.9675225846837673
35,30.0,23.485714285714284,0.9665550620990835
36,36.0,23.833333333333332,0.9655885070369844
37,11.0,23.486486486486488,0.9646229185299474
38,13.0,23.210526315789473,0.9636582956114175
39,15.0,23.0,0.9626946373158061
40,26.0,23.075,0.9617319426784903
41,19.0,22.975609756097562,0.9607702107358118
42,21.0,22.928571428571427,0.959809440525076
43,74.0,24.11627906976744,0.9588496310845509
44,11.0,23.818181818181817,0.9578907814534664
45,15.0,23.622222222222224,0.9569328906720129
46,23.0,23.608695652173914,0.9559759577813409
47,17.0,23.46808510638298,0.9550199818235596
48,10.0,23.1875,0.9540649618417361
49,27.0,23.26530612244898,0.9531108968798944
50,56.0,23.92,0.9521577859830145
51,11.0,23.666666666666668,0.9512056281970315
52,22.0,23.634615384615383,0.9502544225688344
53,21.0,23.58490566037736,0.9493041681462656
54,17.0,23.462962962962962,0.9483548639781193
55,18.0,23.363636363636363,0.9474065091141411
56,15.0,23.214285714285715,0.946459102605027
57,18.0,23.12280701754386,0.9455126435024219
58,16.0,23.0,0.9445671308589195
59,11.0,22.796610169491526,0.9436225637280606
60,16.0,22.683333333333334,0.9426789411643326
61,13.0,22.524590163934427,0.9417362622231683
62,56.0,23.06451612903226,0.9407945259609451
63,19.0,23.0,0.9398537314349842
64,15.0,22.875,0.9389138777035492
65,12.0,22.70769230769231,0.9379749638258457
66,15.0,22.59090909090909,0.9370369888620198
67,16.0,22.492537313432837,0.9360999518731578
68,13.0,22.352941176470587,0.9351638519212846
69,11.0,22.18840579710145,0.9342286880693633
70,8.0,21.985714285714284,0.933294459381294
71,22.0,21.985915492957748,0.9323611649219127
72,38.0,22.208333333333332,0.9314288037569908
73,15.0,22.10958904109589,0.9304973749532338
74,48.0,22.45945945945946,0.9295668775782806
75,20.0,22.426666666666666,0.9286373107007023
76,12.0,22.289473684210527,0.9277086733900016
77,10.0,22.12987012987013,0.9267809647166116
78,37.0,22.32051282051282,0.925854183751895
79,8.0,22.139240506329113,0.9249283295681431
80,15.0,22.05,0.9240034012385749
81,19.0,22.012345679012345,0.9230793978373364
82,26.0,22.0609756097561,0.9221563184394991
83,14.0,21.96385542168675,0.9212341621210596
84,22.0,21.964285714285715,0.9203129279589385
85,10.0,21.823529411764707,0.9193926150309796
86,17.0,21.767441860465116,0.9184732224159486
87,14.0,21.67816091954023,0.9175547491935327
88,16.0,21.613636363636363,0.9166371944443392
89,14.0,21.528089887640448,0.9157205572498949
90,26.0,21.57777777777778,0.914804836692645
91,17.0,21.52747252747253,0.9138900318559524
92,11.0,21.41304347826087,0.9129761418240965
93,11.0,21.301075268817204,0.9120631656822724
94,26.0,21.351063829787233,0.9111511025165902
95,19.0,21.326315789473686,0.9102399514140735
96,27.0,21.385416666666668,0.9093297114626595
97,36.0,21.536082474226806,0.9084203817511969
98,12.0,21.43877551020408,0.9075119613694457
99,17.0,21.393939393939394,0.9066044494080763
100,15.0,21.33,0.9056978449586682
101,14.0,20.97,0.9047921471137096
102,19.0,21.04,0.9038873549665959
103,18.0,21.05,0.9029834676116293
104,27.0,21.17,0.9020804841440176
105,33.0,21.03,0.9011784036598737
106,34.0,21.18,0.9002772252562138
107,14.0,21.12,0.8993769480309576
108,13.0,20.9,0.8984775710829266
109,17.0,20.89,0.8975790935118436
110,34.0,21.09,0.8966815144183318
111,32.0,21.3,0.8957848329039134
112,16.0,21.12,0.8948890480710096
113,19.0,21.2,0.8939941590229386
114,51.0,21.48,0.8931001648639156
115,12.0,21.4,0.8922070646990518
116,14.0,21.43,0.8913148576343527
117,29.0,21.54,0.8904235427767183
118,20.0,21.49,0.8895331192339416
119,19.0,21.48,0.8886435861147077
120,27.0,21.47,0.887754942528593
121,18.0,21.52,0.8868671875860644
122,18.0,21.18,0.8859803203984784
123,40.0,21.37,0.88509434007808
124,25.0,21.06,0.8842092457380019
125,12.0,20.85,0.8833250364922639
126,21.0,20.85,0.8824417114557717
127,25.0,20.81,0.8815592697443159
128,49.0,21.21,0.8806777104745716
129,16.0,21.25,0.8797970327640969
130,17.0,21.29,0.8789172357313328
131,12.0,21.26,0.8780383184956015
132,15.0,21.22,0.8771602801771059
133,10.0,21.16,0.8762831198969288
134,9.0,20.9,0.8754068367770318
135,20.0,20.8,0.8745314299402548
136,12.0,20.56,0.8736568985103146
137,23.0,20.68,0.8727832416118043
138,20.0,20.75,0.8719104583701925
139,11.0,20.71,0.8710385479118223
140,25.0,20.7,0.8701675093639105
141,12.0,20.63,0.8692973418545467
142,9.0,20.51,0.8684280445126921
143,41.0,20.18,0.8675596164681794
144,11.0,20.18,0.8666920568517111
145,12.0,20.15,0.8658253647948594
146,23.0,20.15,0.8649595394300645
147,40.0,20.38,0.8640945798906344
148,34.0,20.62,0.8632304853107438
149,25.0,20.6,0.862367254825433
150,14.0,20.18,0.8615048875706075
151,17.0,20.24,0.8606433826830369
152,15.0,20.17,0.8597827393003539
153,13.0,20.09,0.8589229565610536
154,22.0,20.14,0.8580640336044925
155,14.0,20.1,0.857205969570888
156,18.0,20.13,0.8563487636013172
157,21.0,20.16,0.8554924148377159
158,12.0,20.12,0.8546369224228781
159,25.0,20.26,0.8537822855004553
160,25.0,20.35,0.8529285032149548
161,17.0,20.39,0.8520755747117399
162,13.0,19.96,0.8512234991370281
163,10.0,19.87,0.8503722756378911
164,11.0,19.83,0.8495219033622532
165,17.0,19.88,0.8486723814588909
166,40.0,20.13,0.847823709077432
167,14.0,20.11,0.8469758853683546
168,28.0,20.26,0.8461289094829862
169,24.0,20.39,0.8452827805735033
170,28.0,20.59,0.8444374977929298
171,17.0,20.54,0.8435930602951368
172,9.0,20.25,0.8427494672348417
173,13.0,20.23,0.8419067177676068
174,29.0,20.04,0.8410648110498392
175,45.0,20.29,0.8402237462387894
176,16.0,20.33,0.8393835224925505
177,11.0,20.34,0.838544138970058
178,15.0,20.12,0.8377055948310879
179,11.0,20.15,0.8368678892362568
180,12.0,20.12,0.8360310213470206
181,19.0,20.12,0.8351949903256736
182,27.0,20.13,0.8343597953353479
183,16.0,20.15,0.8335254355400126
184,20.0,20.13,0.8326919101044725
185,36.0,20.39,0.831859218194368
186,17.0,20.39,0.8310273589761736
187,23.0,20.48,0.8301963316171974
188,23.0,20.55,0.8293661352855802
189,21.0,20.62,0.8285367691502946
190,26.0,20.62,0.8277082323811443
191,21.0,20.66,0.8268805241487632
192,20.0,20.75,0.8260536436246144
193,11.0,20.75,0.8252275899809898
194,12.0,20.61,0.8244023623910088
195,19.0,20.61,0.8235779600286178
196,14.0,20.48,0.8227543820685892
197,13.0,20.25,0.8219316276865206
198,17.0,20.3,0.8211096960588341
199,15.0,20.28,0.8202885863627752
200,17.0,20.3,0.8194682977764125
201,14.0,20.3,0.818648829478636
202,11.0,20.22,0.8178301806491574
203,36.0,20.4,0.8170123504685082
204,34.0,20.47,0.8161953381180397
205,29.0,20.43,0.8153791427799216
206,26.0,20.35,0.8145637636371417
207,47.0,20.68,0.8137491998735046
208,9.0,20.64,0.812935450673631
209,28.0,20.75,0.8121225152229574
210,13.0,20.54,0.8113103927077344
211,48.0,20.7,0.8104990823150267
212,12.0,20.66,0.8096885832327116
213,17.0,20.64,0.8088788946494789
214,18.0,20.31,0.8080700157548294
215,13.0,20.32,0.8072619457390746
216,16.0,20.34,0.8064546837933355
217,40.0,20.45,0.8056482291095421
218,16.0,20.41,0.8048425808804326
219,26.0,20.48,0.8040377382995522
220,13.0,20.34,0.8032337005612527
221,19.0,20.35,0.8024304668606914
222,15.0,20.32,0.8016280363938307
223,19.0,20.11,0.8008264083574369
224,21.0,20.07,0.8000255819490795
225,12.0,20.07,0.7992255563671304
226,12.0,19.98,0.7984263308107633
227,18.0,19.91,0.7976279044799526
228,16.0,19.58,0.7968302765754727
229,9.0,19.51,0.7960334462988972
230,20.0,19.54,0.7952374128525983
231,36.0,19.78,0.7944421754397457
232,14.0,19.77,0.7936477332643059
233,30.0,19.97,0.7928540855310416
234,39.0,20.27,0.7920612314455105
235,36.0,20.43,0.7912691702140651
236,13.0,20.44,0.790477901043851
237,66.0,20.87,0.7896874231428072
238,16.0,20.83,0.7888977357196644
239,13.0,20.85,0.7881088379839447
240,11.0,20.71,0.7873207291459607
241,9.0,20.68,0.7865334084168147
242,13.0,20.72,0.7857468750083979
243,11.0,20.42,0.7849611281333895
244,23.0,20.54,0.784176167005256
245,26.0,20.68,0.7833919908382508
246,15.0,20.6,0.7826085988474126
247,39.0,20.59,0.7818259902485653
248,16.0,20.41,0.7810441642583167
249,13.0,20.29,0.7802631200940584
250,15.0,20.3,0.7794828569739644
251,17.0,20.3,0.7787033741169904
252,12.0,20.27,0.7779246707428734
253,11.0,20.25,0.7771467460721305
254,20.0,20.23,0.7763695993260584
255,21.0,20.3,0.7755932297267324
256,17.0,20.29,0.7748176364970056
257,21.0,20.29,0.7740428188605086
258,22.0,20.39,0.7732687760416481
259,15.0,20.29,0.7724955072656065
260,20.0,20.24,0.7717230117583408
261,14.0,20.21,0.7709512887465825
262,13.0,20.21,0.7701803374578359
263,18.0,20.29,0.7694101571203781
264,13.0,20.31,0.7686407469632577
265,17.0,20.31,0.7678721062162944
266,18.0,20.09,0.7671042341100781
267,43.0,20.38,0.766337129875968
268,20.0,20.3,0.7655707927460921
269,32.0,20.38,0.764805221953346
270,17.0,20.27,0.7640404167313927
271,12.0,20.22,0.7632763763146613
272,9.0,20.22,0.7625130999383466
273,10.0,20.19,0.7617505868384082
274,11.0,20.01,0.7609888362515699
275,15.0,19.71,0.7602278474153183
276,14.0,19.69,0.759467619567903
277,14.0,19.72,0.7587081519483351
278,11.0,19.68,0.7579494437963867
279,25.0,19.82,0.7571914943525904
280,18.0,19.88,0.7564343028582378
281,11.0,19.8,0.7556778685553796
282,10.0,19.63,0.7549221906868242
283,18.0,19.65,0.7541672684961374
284,25.0,19.7,0.7534131012276413
285,12.0,19.46,0.7526596881264136
286,12.0,19.41,0.7519070284382872
287,12.0,19.3,0.7511551214098489
288,23.0,19.3,0.750403966288439
289,17.0,19.26,0.7496535623221505
290,29.0,19.29,0.7489039087598284
291,13.0,19.21,0.7481550048510686
292,23.0,19.24,0.7474068498462175
293,15.0,19.28,0.7466594429963713
294,12.0,19.28,0.745912783553375
295,55.0,19.64,0.7451668707698216
296,16.0,19.66,0.7444217038990517
297,17.0,19.7,0.7436772821951526
298,11.0,19.64,0.7429336049129575
299,46.0,19.95,0.7421906713080445
300,15.0,19.93,0.7414484806367364
301,12.0,19.91,0.7407070321560997
302,27.0,20.07,0.7399663251239436
303,16.0,19.87,0.7392263587988196
304,13.0,19.66,0.7384871324400207
305,42.0,19.79,0.7377486453075807
306,19.0,19.72,0.737010896662273
307,21.0,19.46,0.7362738857656108
308,9.0,19.46,0.7355376118798452
309,11.0,19.29,0.7348020742679654
310,19.0,19.35,0.7340672721936974
311,23.0,19.1,0.7333332049215037
312,32.0,19.3,0.7325998717165821
313,19.0,19.32,0.7318672718448656
314,19.0,19.33,0.7311354045730207
315,16.0,19.36,0.7304042691684477
316,12.0,19.32,0.7296738648992792
317,16.0,19.08,0.7289441910343799
318,11.0,19.03,0.7282152468433455
319,17.0,18.94,0.7274870315965022
320,21.0,19.02,0.7267595445649057
321,19.0,19.02,0.7260327850203407
322,18.0,19.05,0.7253067522353204
323,18.0,19.04,0.724581445483085
324,12.0,18.95,0.723856864037602
325,12.0,18.95,0.7231330071735643
