Attempt,Reward,Average_Reward,Epsilon
1,25.0,25.0,1.0
2,24.0,24.5,0.999
3,18.0,22.333333333333332,0.998001
4,16.0,20.75,0.997002999
5,35.0,23.6,0.996005996001
6,30.0,24.666666666666668,0.995009990004999
7,18.0,23.714285714285715,0.994014980014994
8,12.0,22.25,0.993020965034979
9,13.0,21.22222222222222,0.9920279440699441
10,29.0,22.0,0.9910359161258742
11,19.0,21.727272727272727,0.9900448802097482
12,20.0,21.583333333333332,0.9890548353295385
13,17.0,21.23076923076923,0.988065780494209
14,29.0,21.785714285714285,0.9870777147137147
15,14.0,21.266666666666666,0.986090636999001
16,15.0,20.875,0.9851045463620021
17,13.0,20.41176470588235,0.98411944181564
18,12.0,19.944444444444443,0.9831353223738244
19,14.0,19.63157894736842,0.9821521870514506
20,53.0,21.3,0.9811700348643991
21,37.0,22.047619047619047,0.9801888648295347
22,20.0,21.954545454545453,0.9792086759647052
23,11.0,21.47826086956522,0.9782294672887405
24,36.0,22.083333333333332,0.9772512378214517
25,20.0,22.0,0.9762739865836303
26,16.0,21.76923076923077,0.9752977125970467
27,55.0,23.0,0.9743224148844496
28,19.0,22.857142857142858,0.9733480924695651
29,13.0,22.517241379310345,0.9723747443770956
30,18.0,22.366666666666667,0.9714023696327185
31,44.0,23.06451612903226,0.9704309672630859
32,62.0,24.28125,0.9694605362958227
33,28.0,24.393939393939394,0.9684910757595269
34,16.0,24.147058823529413,0.9675225846837673
35,13.0,23.82857142857143,0.9665550620990835
36,21.0,23.75,0.9655885070369844
37,43.0,24.27027027027027,0.9646229185299474
38,26.0,24.31578947368421,0.9636582956114175
39,30.0,24.46153846153846,0.9626946373158061
40,12.0,24.15,0.9617319426784903
41,22.0,24.097560975609756,0.9607702107358118
42,14.0,23.857142857142858,0.959809440525076
43,19.0,23.74418604651163,0.9588496310845509
44,12.0,23.477272727272727,0.9578907814534664
45,27.0,23.555555555555557,0.9569328906720129
46,25.0,23.58695652173913,0.9559759577813409
47,19.0,23.48936170212766,0.9550199818235596
48,8.0,23.166666666666668,0.9540649618417361
49,29.0,23.285714285714285,0.9531108968798944
50,16.0,23.14,0.9521577859830145
51,37.0,23.41176470588235,0.9512056281970315
52,13.0,23.21153846153846,0.9502544225688344
53,32.0,23.37735849056604,0.9493041681462656
54,14.0,23.203703703703702,0.9483548639781193
55,16.0,23.072727272727274,0.9474065091141411
56,16.0,22.946428571428573,0.946459102605027
57,26.0,23.0,0.9455126435024219
58,15.0,22.862068965517242,0.9445671308589195
59,18.0,22.779661016949152,0.9436225637280606
60,13.0,22.616666666666667,0.9426789411643326
61,12.0,22.442622950819672,0.9417362622231683
62,13.0,22.29032258064516,0.9407945259609451
63,33.0,22.46031746031746,0.9398537314349842
64,12.0,22.296875,0.9389138777035492
65,16.0,22.2,0.9379749638258457
66,20.0,22.166666666666668,0.9370369888620198
67,16.0,22.074626865671643,0.9360999518731578
68,22.0,22.073529411764707,0.9351638519212846
69,13.0,21.942028985507246,0.9342286880693633
70,12.0,21.8,0.933294459381294
71,18.0,21.746478873239436,0.9323611649219127
72,19.0,21.708333333333332,0.9314288037569908
73,19.0,21.671232876712327,0.9304973749532338
74,10.0,21.513513513513512,0.9295668775782806
75,17.0,21.453333333333333,0.9286373107007023
76,43.0,21.736842105263158,0.9277086733900016
77,13.0,21.623376623376622,0.9267809647166116
78,12.0,21.5,0.925854183751895
79,24.0,21.531645569620252,0.9249283295681431
80,15.0,21.45,0.9240034012385749
81,13.0,21.34567901234568,0.9230793978373364
82,12.0,21.23170731707317,0.9221563184394991
83,42.0,21.481927710843372,0.9212341621210596
84,21.0,21.476190476190474,0.9203129279589385
85,13.0,21.376470588235293,0.9193926150309796
86,19.0,21.348837209302324,0.9184732224159486
87,22.0,21.35632183908046,0.9175547491935327
88,17.0,21.306818181818183,0.9166371944443392
89,23.0,21.325842696629213,0.9157205572498949
90,29.0,21.41111111111111,0.914804836692645
91,13.0,21.318681318681318,0.9138900318559524
92,16.0,21.26086956521739,0.9129761418240965
93,43.0,21.49462365591398,0.9120631656822724
94,25.0,21.53191489361702,0.9111511025165902
95,15.0,21.46315789473684,0.9102399514140735
96,9.0,21.333333333333332,0.9093297114626595
97,25.0,21.371134020618555,0.9084203817511969
98,12.0,21.275510204081634,0.9075119613694457
99,34.0,21.404040404040405,0.9066044494080763
100,33.0,21.52,0.9056978449586682
101,21.0,21.48,0.9047921471137096
102,21.0,21.45,0.9038873549665959
103,12.0,21.39,0.9029834676116293
104,16.0,21.39,0.9020804841440176
105,30.0,21.34,0.9011784036598737
106,22.0,21.26,0.9002772252562138
107,19.0,21.27,0.8993769480309576
108,44.0,21.59,0.8984775710829266
109,52.0,21.98,0.8975790935118436
110,14.0,21.83,0.8966815144183318
111,32.0,21.96,0.8957848329039134
112,15.0,21.91,0.8948890480710096
113,10.0,21.84,0.8939941590229386
114,24.0,21.79,0.8931001648639156
115,59.0,22.24,0.8922070646990518
116,19.0,22.28,0.8913148576343527
117,22.0,22.37,0.8904235427767183
118,15.0,22.4,0.8895331192339416
119,19.0,22.45,0.8886435861147077
120,65.0,22.57,0.887754942528593
121,10.0,22.3,0.8868671875860644
122,15.0,22.25,0.8859803203984784
123,25.0,22.39,0.88509434007808
124,12.0,22.15,0.8842092457380019
125,23.0,22.18,0.8833250364922639
126,46.0,22.48,0.8824417114557717
127,19.0,22.12,0.8815592697443159
128,33.0,22.26,0.8806777104745716
129,14.0,22.27,0.8797970327640969
130,10.0,22.19,0.8789172357313328
131,16.0,21.91,0.8780383184956015
132,13.0,21.42,0.8771602801771059
133,17.0,21.31,0.8762831198969288
134,26.0,21.41,0.8754068367770318
135,12.0,21.4,0.8745314299402548
136,12.0,21.31,0.8736568985103146
137,26.0,21.14,0.8727832416118043
138,70.0,21.58,0.8719104583701925
139,15.0,21.43,0.8710385479118223
140,35.0,21.66,0.8701675093639105
141,18.0,21.62,0.8692973418545467
142,16.0,21.64,0.8684280445126921
143,16.0,21.61,0.8675596164681794
144,16.0,21.65,0.8666920568517111
145,36.0,21.74,0.8658253647948594
146,51.0,22.0,0.8649595394300645
147,34.0,22.15,0.8640945798906344
148,12.0,22.19,0.8632304853107438
149,21.0,22.11,0.862367254825433
150,19.0,22.14,0.8615048875706075
151,44.0,22.21,0.8606433826830369
152,33.0,22.41,0.8597827393003539
153,21.0,22.3,0.8589229565610536
154,13.0,22.29,0.8580640336044925
155,23.0,22.36,0.857205969570888
156,15.0,22.35,0.8563487636013172
157,11.0,22.2,0.8554924148377159
158,54.0,22.59,0.8546369224228781
159,43.0,22.84,0.8537822855004553
160,22.0,22.93,0.8529285032149548
161,18.0,22.99,0.8520755747117399
162,15.0,23.01,0.8512234991370281
163,17.0,22.85,0.8503722756378911
164,19.0,22.92,0.8495219033622532
165,15.0,22.91,0.8486723814588909
166,24.0,22.95,0.847823709077432
167,29.0,23.08,0.8469758853683546
168,14.0,23.0,0.8461289094829862
169,16.0,23.03,0.8452827805735033
170,30.0,23.21,0.8444374977929298
171,24.0,23.27,0.8435930602951368
172,18.0,23.26,0.8427494672348417
173,14.0,23.21,0.8419067177676068
174,65.0,23.76,0.8410648110498392
175,24.0,23.83,0.8402237462387894
176,40.0,23.8,0.8393835224925505
177,21.0,23.88,0.838544138970058
178,15.0,23.91,0.8377055948310879
179,14.0,23.81,0.8368678892362568
180,40.0,24.06,0.8360310213470206
181,57.0,24.5,0.8351949903256736
182,37.0,24.75,0.8343597953353479
183,22.0,24.55,0.8335254355400126
184,59.0,24.93,0.8326919101044725
185,25.0,25.05,0.831859218194368
186,64.0,25.5,0.8310273589761736
187,36.0,25.64,0.8301963316171974
188,14.0,25.61,0.8293661352855802
189,16.0,25.54,0.8285367691502946
190,78.0,26.03,0.8277082323811443
191,21.0,26.11,0.8268805241487632
192,16.0,26.11,0.8260536436246144
193,27.0,25.95,0.8252275899809898
194,24.0,25.94,0.8244023623910088
195,19.0,25.98,0.8235779600286178
196,60.0,26.49,0.8227543820685892
197,19.0,26.43,0.8219316276865206
198,24.0,26.55,0.8211096960588341
199,22.0,26.43,0.8202885863627752
200,31.0,26.41,0.8194682977764125
201,17.0,26.37,0.818648829478636
202,40.0,26.56,0.8178301806491574
203,18.0,26.62,0.8170123504685082
204,10.0,26.56,0.8161953381180397
