Attempt,Reward,Average_Reward,Epsilon
1,14.0,14.0,1.0
2,17.0,15.5,0.999
3,10.0,13.666666666666666,0.998001
4,30.0,17.75,0.997002999
5,32.0,20.6,0.996005996001
6,32.0,22.5,0.995009990004999
7,15.0,21.428571428571427,0.994014980014994
8,24.0,21.75,0.993020965034979
9,20.0,21.555555555555557,0.9920279440699441
10,12.0,20.6,0.9910359161258742
11,17.0,20.272727272727273,0.9900448802097482
12,10.0,19.416666666666668,0.9890548353295385
13,66.0,23.0,0.988065780494209
14,29.0,23.428571428571427,0.9870777147137147
15,17.0,23.0,0.986090636999001
16,25.0,23.125,0.9851045463620021
17,11.0,22.41176470588235,0.98411944181564
18,12.0,21.833333333333332,0.9831353223738244
19,47.0,23.157894736842106,0.9821521870514506
20,13.0,22.65,0.9811700348643991
21,23.0,22.666666666666668,0.9801888648295347
22,21.0,22.59090909090909,0.9792086759647052
23,16.0,22.304347826086957,0.9782294672887405
24,10.0,21.791666666666668,0.9772512378214517
25,24.0,21.88,0.9762739865836303
26,10.0,21.423076923076923,0.9752977125970467
27,14.0,21.14814814814815,0.9743224148844496
28,60.0,22.535714285714285,0.9733480924695651
29,25.0,22.620689655172413,0.9723747443770956
30,20.0,22.533333333333335,0.9714023696327185
31,15.0,22.29032258064516,0.9704309672630859
32,15.0,22.0625,0.9694605362958227
33,17.0,21.90909090909091,0.9684910757595269
34,13.0,21.647058823529413,0.9675225846837673
35,18.0,21.542857142857144,0.9665550620990835
36,41.0,22.083333333333332,0.9655885070369844
37,22.0,22.08108108108108,0.9646229185299474
38,41.0,22.57894736842105,0.9636582956114175
39,49.0,23.256410256410255,0.9626946373158061
40,14.0,23.025,0.9617319426784903
41,19.0,22.926829268292682,0.9607702107358118
42,17.0,22.785714285714285,0.959809440525076
43,29.0,22.930232558139537,0.9588496310845509
44,20.0,22.863636363636363,0.9578907814534664
45,11.0,22.6,0.9569328906720129
46,20.0,22.543478260869566,0.9559759577813409
47,15.0,22.382978723404257,0.9550199818235596
48,12.0,22.166666666666668,0.9540649618417361
49,16.0,22.040816326530614,0.9531108968798944
50,23.0,22.06,0.9521577859830145
51,18.0,21.980392156862745,0.9512056281970315
52,19.0,21.923076923076923,0.9502544225688344
53,11.0,21.71698113207547,0.9493041681462656
54,12.0,21.537037037037038,0.9483548639781193
55,32.0,21.727272727272727,0.9474065091141411
56,39.0,22.035714285714285,0.946459102605027
57,17.0,21.94736842105263,0.9455126435024219
58,30.0,22.086206896551722,0.9445671308589195
59,25.0,22.135593220338983,0.9436225637280606
60,14.0,22.0,0.9426789411643326
61,16.0,21.901639344262296,0.9417362622231683
62,15.0,21.79032258064516,0.9407945259609451
63,19.0,21.746031746031747,0.9398537314349842
64,31.0,21.890625,0.9389138777035492
65,24.0,21.923076923076923,0.9379749638258457
66,37.0,22.151515151515152,0.9370369888620198
67,29.0,22.253731343283583,0.9360999518731578
68,37.0,22.470588235294116,0.9351638519212846
69,13.0,22.333333333333332,0.9342286880693633
70,14.0,22.214285714285715,0.933294459381294
71,17.0,22.140845070422536,0.9323611649219127
72,17.0,22.069444444444443,0.9314288037569908
73,22.0,22.068493150684933,0.9304973749532338
74,22.0,22.06756756756757,0.9295668775782806
75,20.0,22.04,0.9286373107007023
76,15.0,21.94736842105263,0.9277086733900016
77,20.0,21.92207792207792,0.9267809647166116
78,31.0,22.03846153846154,0.925854183751895
79,21.0,22.025316455696203,0.9249283295681431
80,75.0,22.6875,0.9240034012385749
81,36.0,22.85185185185185,0.9230793978373364
82,12.0,22.71951219512195,0.9221563184394991
83,13.0,22.602409638554217,0.9212341621210596
84,13.0,22.488095238095237,0.9203129279589385
85,17.0,22.423529411764704,0.9193926150309796
86,11.0,22.290697674418606,0.9184732224159486
87,18.0,22.24137931034483,0.9175547491935327
88,11.0,22.113636363636363,0.9166371944443392
89,33.0,22.235955056179776,0.9157205572498949
90,23.0,22.244444444444444,0.914804836692645
91,13.0,22.142857142857142,0.9138900318559524
92,11.0,22.02173913043478,0.9129761418240965
93,25.0,22.053763440860216,0.9120631656822724
94,23.0,22.06382978723404,0.9111511025165902
95,9.0,21.926315789473684,0.9102399514140735
96,16.0,21.864583333333332,0.9093297114626595
97,18.0,21.824742268041238,0.9084203817511969
98,19.0,21.79591836734694,0.9075119613694457
99,19.0,21.767676767676768,0.9066044494080763
100,20.0,21.75,0.9056978449586682
101,25.0,21.86,0.9047921471137096
102,14.0,21.83,0.9038873549665959
103,40.0,22.13,0.9029834676116293
104,34.0,22.17,0.9020804841440176
105,14.0,21.99,0.9011784036598737
106,15.0,21.82,0.9002772252562138
107,12.0,21.79,0.8993769480309576
108,24.0,21.79,0.8984775710829266
109,15.0,21.74,0.8975790935118436
110,31.0,21.93,0.8966815144183318
111,23.0,21.99,0.8957848329039134
112,35.0,22.24,0.8948890480710096
113,45.0,22.03,0.8939941590229386
114,18.0,21.92,0.8931001648639156
115,29.0,22.04,0.8922070646990518
116,13.0,21.92,0.8913148576343527
117,18.0,21.99,0.8904235427767183
118,30.0,22.17,0.8895331192339416
119,18.0,21.88,0.8886435861147077
120,23.0,21.98,0.887754942528593
121,21.0,21.96,0.8868671875860644
122,19.0,21.94,0.8859803203984784
123,11.0,21.89,0.88509434007808
124,18.0,21.97,0.8842092457380019
125,15.0,21.88,0.8833250364922639
126,24.0,22.02,0.8824417114557717
127,28.0,22.16,0.8815592697443159
128,8.0,21.64,0.8806777104745716
129,27.0,21.66,0.8797970327640969
130,26.0,21.72,0.8789172357313328
131,11.0,21.68,0.8780383184956015
