Attempt,Reward,Average_Reward,Epsilon
1,48.0,48.0,1.0
2,18.0,33.0,0.999
3,15.0,27.0,0.998001
4,17.0,24.5,0.997002999
5,12.0,22.0,0.996005996001
6,40.0,25.0,0.995009990004999
7,26.0,25.142857142857142,0.994014980014994
8,34.0,26.25,0.993020965034979
9,21.0,25.666666666666668,0.9920279440699441
10,19.0,25.0,0.9910359161258742
11,13.0,23.90909090909091,0.9900448802097482
12,47.0,25.833333333333332,0.9890548353295385
13,16.0,25.076923076923077,0.988065780494209
14,14.0,24.285714285714285,0.9870777147137147
15,26.0,24.4,0.986090636999001
16,13.0,23.6875,0.9851045463620021
17,32.0,24.176470588235293,0.98411944181564
18,19.0,23.88888888888889,0.9831353223738244
19,56.0,25.57894736842105,0.9821521870514506
20,21.0,25.35,0.9811700348643991
21,12.0,24.714285714285715,0.9801888648295347
22,33.0,25.09090909090909,0.9792086759647052
23,10.0,24.434782608695652,0.9782294672887405
24,19.0,24.208333333333332,0.9772512378214517
25,23.0,24.16,0.9762739865836303
26,38.0,24.692307692307693,0.9752977125970467
27,21.0,24.555555555555557,0.9743224148844496
28,17.0,24.285714285714285,0.9733480924695651
29,26.0,24.344827586206897,0.9723747443770956
30,27.0,24.433333333333334,0.9714023696327185
31,31.0,24.64516129032258,0.9704309672630859
32,16.0,24.375,0.9694605362958227
33,24.0,24.363636363636363,0.9684910757595269
34,32.0,24.58823529411765,0.9675225846837673
35,16.0,24.34285714285714,0.9665550620990835
36,41.0,24.805555555555557,0.9655885070369844
37,16.0,24.56756756756757,0.9646229185299474
38,14.0,24.289473684210527,0.9636582956114175
39,14.0,24.025641025641026,0.9626946373158061
40,51.0,24.7,0.9617319426784903
41,14.0,24.4390243902439,0.9607702107358118
42,25.0,24.452380952380953,0.959809440525076
43,44.0,24.906976744186046,0.9588496310845509
44,30.0,25.022727272727273,0.9578907814534664
45,20.0,24.91111111111111,0.9569328906720129
46,31.0,25.043478260869566,0.9559759577813409
47,20.0,24.93617021276596,0.9550199818235596
48,35.0,25.145833333333332,0.9540649618417361
49,24.0,25.122448979591837,0.9531108968798944
50,20.0,25.02,0.9521577859830145
51,14.0,24.80392156862745,0.9512056281970315
52,24.0,24.78846153846154,0.9502544225688344
53,27.0,24.830188679245282,0.9493041681462656
54,23.0,24.796296296296298,0.9483548639781193
55,10.0,24.527272727272727,0.9474065091141411
56,28.0,24.589285714285715,0.946459102605027
57,35.0,24.771929824561404,0.9455126435024219
58,27.0,24.810344827586206,0.9445671308589195
